,date,cases,deaths
162,2020-07-01,2703386,127951
163,2020-07-02,2758953,128674
164,2020-07-03,2816120,129264
165,2020-07-04,2866126,129524
166,2020-07-05,2910894,129786
167,2020-07-06,2958210,130177
168,2020-07-07,3012304,131133
169,2020-07-08,3071781,132079
170,2020-07-09,3131670,132920
171,2020-07-10,3199920,133748
172,2020-07-11,3260655,134415
173,2020-07-12,3318460,134810
174,2020-07-13,3380052,135235
175,2020-07-14,3445654,136187
176,2020-07-15,3514039,137156
177,2020-07-16,3589740,138113
178,2020-07-17,3660400,139009
179,2020-07-18,3722851,139783
180,2020-07-19,3785126,140195
181,2020-07-20,3845014,140724
182,2020-07-21,3910291,141851
183,2020-07-22,3980030,142982
184,2020-07-23,4050036,144095
185,2020-07-24,4123562,145239
186,2020-07-25,4190338,146113
187,2020-07-26,4244555,146553
188,2020-07-27,4303736,148249
189,2020-07-28,4366852,149568
190,2020-07-29,4433634,150962
191,2020-07-30,4502582,152220
192,2020-07-31,4571641,153644
193,2020-08-01,4628471,154693
194,2020-08-02,4679265,155108
195,2020-08-03,4726750,155716
196,2020-08-04,4780289,157065
197,2020-08-05,4834016,158309
198,2020-08-06,4891532,159368
199,2020-08-07,4952682,160717
200,2020-08-08,5007922,161674
201,2020-08-09,5056410,162208
202,2020-08-10,5103575,162745
203,2020-08-11,5156920,164188
204,2020-08-12,5211203,165658
205,2020-08-13,5265260,166860
206,2020-08-14,5324737,168025
207,2020-08-15,5375486,169072
208,2020-08-16,5417629,169581
209,2020-08-17,5455136,170115
210,2020-08-18,5498362,171453
211,2020-08-19,5541376,172738
212,2020-08-20,5587414,173770
213,2020-08-21,5636428,174924
214,2020-08-22,5681459,175867
215,2020-08-23,5713799,176304
216,2020-08-24,5754178,176808
217,2020-08-25,5793348,178016
218,2020-08-26,5838665,179200
219,2020-08-27,5884267,180318
220,2020-08-28,5930823,181316
221,2020-08-29,5975462,182183
222,2020-08-30,6008914,182551
223,2020-08-31,6045353,183039
224,2020-09-01,6089380,184129
225,2020-09-02,6121844,185197
226,2020-09-03,6168192,186270
227,2020-09-04,6220293,187243
228,2020-09-05,6262571,187946
229,2020-09-06,6292601,188340
230,2020-09-07,6317774,188603
231,2020-09-08,6346507,189056
232,2020-09-09,6379820,190214
233,2020-09-10,6417846,191117
234,2020-09-11,6465492,192330
235,2020-09-12,6504676,193016
