,Washington,Florida,Kentucky,Kansas,North Dakota,New York,Massachusetts,Arizona,Nevada,Pennsylvania,Mississippi,Northern Mariana Islands,Georgia,Texas,Michigan,Arkansas,South Carolina,Maine,New Hampshire,West Virginia,Wisconsin,Vermont,Virginia,Rhode Island,Oklahoma,Montana,New Mexico,Hawaii,Oregon,Colorado,Utah,Connecticut,Louisiana,New Jersey,Wyoming,Ohio,Guam,Nebraska,Minnesota,Illinois,North Carolina,Virgin Islands,Indiana,Maryland,Alaska,Delaware,Idaho,Missouri,District of Columbia,South Dakota,Tennessee,Iowa,Alabama,Puerto Rico,California,date
48,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020-03-09
49,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2020-03-10
50,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2020-03-11
51,32,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2020-03-12
52,37,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2020-03-13
53,40,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2020-03-14
54,42,3,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2020-03-15
55,48,4,1,1,0,10,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,11,2020-03-16
56,54,6,1,1,0,18,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,5,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,14,2020-03-17
57,68,7,1,1,0,32,0,0,1,1,0,0,3,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,3,3,0,1,7,5,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,17,2020-03-18
58,75,8,2,1,0,39,0,0,1,1,1,0,10,4,3,0,1,0,0,0,2,2,2,0,1,0,0,0,3,5,0,4,10,9,0,0,0,0,0,4,0,0,2,1,0,0,0,1,0,1,0,0,0,0,19,2020-03-19
59,83,9,2,1,0,68,1,1,2,1,1,0,14,5,4,0,3,0,0,0,3,2,2,0,1,0,0,0,3,5,0,4,10,11,0,1,0,0,0,5,0,0,5,2,0,0,0,3,0,1,0,0,0,0,24,2020-03-20
60,95,11,3,2,0,95,2,1,2,2,1,0,20,5,6,0,3,0,0,0,4,2,3,0,1,0,0,0,4,6,0,5,16,16,0,3,0,0,1,6,0,0,6,3,0,0,0,3,1,1,2,0,0,1,28,2020-03-21
61,97,13,3,2,0,142,5,2,2,3,1,0,25,7,9,0,3,0,0,0,4,2,6,0,2,0,0,0,5,7,1,8,20,20,0,3,1,0,1,9,0,0,9,3,0,0,0,3,1,1,2,0,0,1,35,2020-03-22
62,110,18,3,2,0,183,9,2,4,6,1,0,25,7,16,0,5,0,1,0,5,2,6,0,2,0,0,0,5,10,1,10,34,27,0,6,1,0,1,12,0,0,12,3,0,0,0,4,2,1,2,0,0,2,39,2020-03-23
63,123,20,3,3,0,264,11,6,6,8,1,0,38,11,24,2,8,0,1,0,5,7,7,0,3,0,0,0,8,11,1,12,46,44,0,8,1,0,1,16,0,0,17,4,0,0,0,5,2,1,2,1,0,2,52,2020-03-24
64,130,23,5,3,0,381,15,6,10,12,5,0,47,13,43,2,8,0,1,0,7,8,9,0,5,0,1,0,10,19,1,19,65,62,0,11,1,0,1,21,1,0,19,4,0,0,0,8,2,1,3,1,1,2,68,2020-03-25
65,152,29,5,3,0,502,25,8,10,16,6,0,56,21,63,3,9,0,1,0,10,9,14,0,7,0,1,0,11,24,1,21,83,82,0,15,1,0,2,26,2,0,23,4,0,1,3,8,3,1,3,1,3,2,83,2020-03-26
66,179,46,8,4,1,645,35,15,10,23,8,0,64,25,93,3,13,1,2,0,16,10,9,0,8,1,1,0,12,31,2,27,119,108,0,22,1,2,4,37,3,0,32,5,1,2,4,9,3,1,6,3,4,3,104,2020-03-27
67,193,56,9,6,1,935,44,15,14,35,13,0,79,30,112,5,15,1,2,0,17,12,9,2,15,1,2,0,13,44,2,33,137,140,0,25,1,2,5,50,4,0,38,10,1,5,5,11,4,1,6,3,4,3,122,2020-03-28
68,209,60,9,7,1,1180,48,18,15,40,14,0,83,35,132,6,16,3,3,1,17,12,11,3,16,1,2,0,13,47,2,34,153,161,0,30,1,2,9,71,6,0,40,11,2,6,6,12,5,1,7,4,5,5,132,2020-03-29
69,221,72,11,9,3,1512,56,20,18,48,16,0,103,46,197,7,18,3,3,1,20,12,12,4,17,4,4,0,16,51,4,36,186,199,0,40,1,3,10,84,6,0,44,15,2,7,7,13,9,1,13,6,11,6,147,2020-03-30
70,226,85,18,10,3,1929,89,24,26,72,20,0,126,57,264,8,22,5,3,1,25,13,12,8,23,5,5,1,18,69,5,69,240,267,0,55,2,4,12,107,10,0,61,18,2,10,9,15,9,1,13,7,14,8,184,2020-03-31
71,250,100,20,11,3,2415,122,29,32,78,22,1,154,65,336,10,26,7,4,2,33,16,18,10,30,5,6,1,19,80,7,85,275,355,0,65,3,5,17,146,11,0,80,33,2,11,9,21,11,1,23,9,28,11,212,2020-04-01
72,272,144,34,14,3,2963,154,35,38,91,26,1,176,80,417,12,31,7,5,2,37,17,18,12,34,5,7,2,21,96,7,112,310,539,0,81,3,6,18,165,17,0,94,36,2,12,9,28,12,2,32,11,32,12,247,2020-04-02
