,Washington,Florida,Kentucky,Kansas,North Dakota,New York,Massachusetts,Arizona,Nevada,Pennsylvania,Mississippi,Northern Mariana Islands,Georgia,Texas,Michigan,Arkansas,South Carolina,Maine,New Hampshire,West Virginia,Wisconsin,Vermont,Virginia,Rhode Island,Oklahoma,Montana,New Mexico,Hawaii,Oregon,Colorado,Utah,Connecticut,Louisiana,New Jersey,Wyoming,Ohio,Guam,Nebraska,Minnesota,Illinois,North Carolina,Virgin Islands,Indiana,Maryland,Alaska,Delaware,Idaho,Missouri,District of Columbia,South Dakota,Tennessee,Iowa,Alabama,Puerto Rico,California,date
106,16873,37994,5946,5893,1323,329405,72025,9707,5744,54989,8424,15,29724,35441,45079,3611,6936,1254,2741,1277,9052,908,20258,10205,4201,456,4290,616,2916,17720,5605,30995,30472,131890,631,21576,1118,6771,8579,68164,12783,132,22286,28263,370,5778,2158,9164,5461,2779,13737,10404,8691,1968,60787,2020-05-06
107,17187,38820,6173,6240,1371,332931,73721,9945,5858,56149,8686,15,30524,36682,45643,3694,7142,1330,2843,1298,9369,916,21570,10530,4330,456,4492,619,2989,18264,5724,31784,30725,133635,635,22131,1118,7190,9364,70802,13431,134,22942,29476,373,5939,2178,9409,5654,2905,14108,11059,9046,2031,62481,2020-05-07
108,17477,39191,6298,6751,1425,335804,75333,10526,5942,57501,9090,15,31089,37943,46319,3747,7367,1374,2947,1324,9750,919,22342,10779,4424,458,4673,619,3068,18719,5919,32411,30928,135454,644,23018,1120,7830,10087,73688,13879,137,23620,30592,376,6083,2205,9573,5899,3144,14276,11457,9385,2156,64616,2020-05-08
109,17629,39993,6469,6923,1464,338519,76743,10960,6046,58661,9378,16,31481,38849,46735,3747,7531,1408,3011,1348,10099,921,23196,10989,4490,458,4778,620,3160,19267,6103,32984,31490,137085,653,23697,1120,8233,10789,76008,14387,138,24239,31638,377,6277,2230,9737,6102,3393,14675,11671,9668,2173,66824,2020-05-09
110,17781,40588,6486,7045,1491,340657,77793,11119,6120,60037,9501,16,32267,40037,47116,4012,7653,1436,3071,1363,10379,926,24081,11274,4589,458,4863,621,3228,19595,6251,33554,31673,138532,662,24086,1120,8328,11270,77662,14783,138,24633,32693,378,6447,2232,9906,6272,3517,15060,11959,9889,2198,68051,2020-05-10
111,18172,40974,6710,7161,1518,342267,78462,11380,6152,60557,9674,19,32448,40988,47526,4043,7792,1462,3160,1370,10581,926,25070,11450,4613,459,5069,623,3286,19793,6364,33765,31881,139945,669,24785,1120,8575,11798,79123,15069,138,25134,33483,380,6565,2261,10025,6389,3614,15423,12373,10164,2256,69514,2020-05-11
112,18382,41915,7003,7352,1571,343705,79332,11736,6311,61407,9908,19,33311,42348,47946,4164,7927,1477,3239,1379,10781,927,25800,11614,4731,461,5212,624,3359,20103,6454,34333,32116,140743,675,25257,1121,8732,12493,83168,15402,138,25676,34174,383,6741,2294,10124,6485,3663,15777,12912,10464,2299,71150,2020-05-12
113,18492,42394,7102,7552,1647,345828,80497,12176,6482,62194,10090,19,33866,43822,48307,4236,8030,1515,3299,1405,11071,929,26746,11835,4852,462,5364,627,3416,20442,6624,34855,32728,141560,688,25727,1121,9072,12916,84874,15850,138,26044,34927,383,6952,2325,10369,6584,3732,16261,13289,10700,2329,73218,2020-05-13
114,18861,43202,7397,7668,1712,348192,82182,12674,6604,63158,10483,19,34422,45169,49489,4366,8189,1565,3382,1435,11449,932,27813,12016,4962,462,5503,627,3479,20813,6760,35464,33555,142704,701,26363,1121,9411,13443,88081,16593,138,26627,36021,387,7223,2352,10490,6736,3792,16588,13675,11101,2427,74947,2020-05-14
115,19131,44130,7578,8006,1761,350951,83421,13169,6733,64178,10801,19,35242,46987,49982,4463,8407,1603,3464,1448,12037,933,28672,12219,5086,466,5662,628,3541,21207,6930,36085,33903,143905,716,26956,1123,9766,14240,90528,17190,138,27281,37105,388,7373,2389,10567,6871,3887,16917,14049,11373,2542,77015,2020-05-15
116,19336,44803,7773,8059,1848,353136,84933,13631,6810,65228,11123,21,35655,47866,50416,4578,8661,1648,3556,1470,12551,934,29683,12434,5237,468,5847,629,3612,21604,7068,36703,34183,145089,741,27476,1123,10220,14969,92669,18009,138,27919,38083,392,7547,2419,10794,7042,3959,17204,14328,11674,2589,78933,2020-05-16
117,19514,45580,7793,8066,1900,355037,86010,13937,6935,65745,11296,21,35954,48828,51054,4759,8816,1687,3596,1492,12754,940,30388,12674,5310,468,5938,630,3623,21909,7238,37419,34498,146334,754,27925,1123,10348,15677,94360,18537,138,28419,38920,396,7670,2421,11069,7123,3987,17391,14651,11771,2646,80366,2020-05-17
118,19756,46434,8041,8439,1931,356278,87052,14170,7059,66676,11432,21,36634,49788,51853,4813,8942,1713,3652,1502,12912,940,31140,12795,5398,470,6096,630,3687,22174,7384,38116,34832,148039,766,28455,1123,10625,16372,96778,19121,138,28897,39882,399,7869,2455,11225,7270,4027,17767,14955,12086,2710,81943,2020-05-18
119,19988,46936,8205,8488,1994,357757,87925,14566,7169,67404,11704,21,37214,51080,52337,4923,9056,1741,3721,1514,13200,944,32145,12951,5489,471,6192,631,3726,22454,7530,38430,35161,149013,776,28953,1123,10846,17038,98298,19762,138,29402,41664,399,8037,2476,11369,7434,4085,18301,15296,12376,2805,83981,2020-05-19
120,20110,47463,8336,8661,2095,359235,88970,14897,7301,68151,11967,21,38162,52369,52988,5003,9175,1819,3868,1567,13779,944,32908,13356,5532,478,6338,633,3801,22769,7717,39017,35439,150399,787,29437,1134,11119,17679,100713,20221,138,29986,42442,402,8194,2506,11510,7551,4177,18534,15868,13052,2866,86125,2020-05-20
121,20280,48667,8475,8771,2229,361313,90084,15315,7404,69252,12222,22,38969,53441,53468,5458,9379,1877,3935,1603,14172,950,34137,13571,5680,479,6472,637,3817,23161,7876,39208,36627,151472,801,30168,1134,11423,18209,102995,20934,138,30673,43645,402,8386,2534,11657,7788,4177,18970,16170,13414,2913,88488,2020-05-21
122,20526,49443,8688,9068,2317,362991,90889,15608,7531,70305,12624,22,39734,54369,53865,5612,9638,1948,4014,1705,14768,952,34950,13736,5849,479,6625,632,3864,23456,8057,39640,37048,152719,803,30795,1134,11661,19014,105710,21661,138,31165,44539,404,8529,2595,11797,7893,4356,19364,16510,13670,3030,90801,2020-05-22
123,20740,50119,8812,9119,2365,364745,91662,16040,7769,71102,13005,22,40408,55451,54304,5775,9895,2013,4089,1729,15196,954,35749,13952,5960,479,6795,633,3888,23932,8260,40022,37165,153104,813,31408,1134,11988,19854,108100,22731,138,31674,45608,409,8690,2626,11922,7966,4468,19765,16898,14149,3100,92815,2020-05-23
124,20989,50859,8842,9135,2418,366346,92675,16339,7886,71656,13252,22,40989,56050,54616,5922,10096,2055,4149,1771,15573,956,36244,14065,6037,479,6943,633,3927,24140,8392,40468,37293,154154,813,31911,1135,12133,20582,110541,23231,138,32151,46919,409,8809,2650,12114,8110,4563,20116,17434,14478,3189,94743,2020-05-24
125,21265,51738,8899,9272,2457,367625,93271,16561,7959,72356,13458,22,41414,56490,54816,6029,10178,2074,4197,1782,15857,962,37727,14065,6090,479,7026,633,3949,24256,8521,40873,37916,155092,843,32477,1135,12354,21324,112248,23997,138,32489,47754,412,8965,2664,12296,8225,4586,20533,17628,14986,3260,97017,2020-05-25
126,21538,52247,9175,9352,2422,368669,93693,16783,8059,72873,13731,22,42066,57573,55040,6180,10416,2109,4231,1854,16141,967,39342,14210,6137,479,7130,633,3968,24553,8622,41303,38252,155764,850,33006,1139,12618,21969,113486,24188,138,32856,48290,416,9066,2699,12437,8334,4653,20960,17999,15650,3324,99924,2020-05-26
127,21825,52626,9313,9453,2442,369801,94220,17262,8150,73646,14044,22,42713,59105,55544,6277,10623,2137,4286,1899,16786,971,40249,14353,6229,481,7252,634,4041,24775,8710,41288,38694,156628,860,33439,1140,12975,22474,114612,24787,138,33242,49042,417,9096,2731,12624,8406,4710,21360,18446,16032,3397,101873,2020-05-27
128,22091,53277,9510,9513,2484,371559,94895,17763,8247,74312,14372,22,43363,60820,55944,6538,10788,2189,4389,1935,17476,974,41401,14494,6270,485,7364,637,4087,25116,8953,41559,38907,157815,876,33915,1141,13260,22957,116128,25616,138,33885,50334,430,9171,2770,12815,8492,4793,21763,18672,16530,3486,104071,2020-05-28
129,22377,54489,9688,9826,2523,373108,95512,18465,8375,75073,14790,22,43888,62073,56589,6777,11131,2226,4492,1972,18050,975,42533,14635,6338,493,7493,639,4133,25602,9282,41762,38907,158844,891,34566,1141,13654,23541,117794,26735,138,34399,51631,436,9236,2804,12949,8538,4866,22199,19019,17031,3647,107043,2020-05-29
130,22618,55416,9887,9847,2557,374471,96301,19255,8519,75789,15229,22,44336,63396,56848,7013,11394,2282,4545,1989,18515,977,43611,14819,6418,505,7624,641,4185,26084,9551,42022,39682,159608,898,35034,1141,13905,24200,119290,27761,139,35064,52662,441,9422,2840,13118,8717,4960,22676,19336,17359,3718,110100,2020-05-30
131,22814,56155,9937,9878,2580,375575,96965,19936,8628,76218,15501,22,45051,64974,57355,7253,11861,2325,4651,2010,18684,981,44607,14928,6506,515,7689,642,4243,26364,9829,42201,40021,160445,903,35513,1144,14101,24860,120588,28686,139,35429,53456,469,9498,2855,13297,8801,4993,22832,19621,17952,3776,113114,2020-05-31
132,23272,56822,10150,10103,2628,376520,100805,20123,8701,76734,15752,22,45757,66081,58435,7443,12148,2349,4685,2028,18825,983,45398,14991,6573,519,7800,642,4303,26563,10026,42740,40452,160918,910,35984,1144,14345,25218,121666,29368,140,35684,54035,476,9605,2908,13523,8857,5034,23242,19789,18534,3873,115643,2020-06-01
133,23608,57439,10287,10143,2649,377881,101163,21250,8858,77315,16020,23,46063,67966,58680,7818,12415,2377,4749,2056,19223,988,46239,15112,6692,523,8024,643,4338,26774,10237,42979,40857,161545,912,36350,1146,14611,25518,123244,30052,140,36129,54831,497,9685,2935,13822,8886,5066,24498,20017,18771,3935,118081,2020-06-02
134,23776,58756,10485,10281,2682,378924,101592,22245,8950,77871,16322,24,46711,69546,58990,8067,12651,2418,4795,2077,19896,990,46905,15219,6805,525,8140,643,4399,27046,10558,43091,41244,162068,915,36792,1146,14866,25881,124279,31013,141,36609,55617,516,9712,2990,14020,9016,5161,25024,20376,18851,4023,120407,2020-06-03
135,23999,60175,10781,10332,2709,379977,102063,22818,9118,78428,16560,26,47528,71330,59215,8425,13005,2446,4876,2102,20359,1026,47856,15325,6907,537,8353,644,4475,27346,10858,43239,41673,162530,921,37282,1148,15117,26284,125149,32276,142,37005,56490,542,9746,3054,14286,9120,5247,25374,20943,19072,4508,122917,2020-06-04
136,24546,61480,11051,10493,2748,381019,102557,24369,9306,78908,16769,26,48280,73323,63744,8651,13453,2482,4953,2119,20723,1027,48532,15441,7004,539,8672,653,4585,27601,11344,43460,42100,163336,933,37758,1148,15379,26991,126317,33417,142,37499,57407,565,9773,3111,14515,9199,5277,25799,21332,19387,4620,126510,2020-06-05
137,24767,62750,11359,10517,2819,382102,103132,25517,9494,79507,17034,26,48943,75077,64196,9101,13916,2524,5019,2136,20997,1046,49397,15441,7060,540,8800,661,4672,27834,11866,43818,42597,163893,939,38111,1148,15543,27512,127251,34809,142,37928,58099,579,9845,3139,14659,9269,5367,26359,21527,20043,4915,129147,2020-06-06
138,25064,63930,11393,10549,2864,382879,103436,26924,9673,80001,17270,27,49371,75948,64615,9426,14286,2570,5043,2144,21246,1063,50681,15441,7151,545,8940,663,4809,27987,12084,43968,42927,164164,947,38476,1148,15634,27897,128070,35663,142,38328,58593,588,9942,3153,14985,9332,5438,26811,21794,20500,4985,131997,2020-06-07
139,25593,64896,11701,10724,2883,383591,103626,27761,9815,80432,17768,28,49995,77326,64911,9740,14800,2588,5079,2161,21463,1075,51251,15642,7206,548,9062,664,4927,28169,12378,44092,43163,164497,960,38837,1149,15752,28235,129543,36581,142,38553,59024,607,9972,3197,15159,9389,5471,27217,22111,20925,5046,134287,2020-06-08
140,25796,65992,11891,10786,2904,384281,103889,28396,10046,80964,18109,30,50769,79271,65190,10080,15228,2606,5132,2179,21738,1084,51738,15691,7364,554,9105,670,5027,28333,12639,44179,43725,164796,970,39162,1149,15888,28534,130321,37393,143,38985,59543,620,10020,3226,15396,9474,5523,27865,22271,21422,5185,137245,2020-06-09
141,25940,67363,12029,10931,2944,384945,104156,29981,10216,81410,18483,30,51465,81771,65377,10368,15759,2637,5178,2193,24091,1095,52177,15756,7480,561,9250,673,5099,28484,12982,44347,44143,165346,980,39575,1149,16025,28900,130889,38305,144,39297,60114,642,10056,3262,15662,9537,5604,28379,22733,21989,5329,140139,2020-06-10
142,26172,69061,12128,10984,2983,385669,104667,31525,10464,81944,18483,30,52332,83772,65627,10816,16441,2667,5209,2217,24411,1110,52647,15862,7626,563,9368,680,5252,28632,13366,44461,44585,165816,1009,40004,1152,16315,29347,131731,39735,144,39714,60823,666,10106,3303,15924,9589,5665,28766,23103,22845,5352,143709,2020-06-11
143,26576,70963,12352,11152,3019,386490,105059,33167,10704,82578,19091,30,53201,86031,65881,11547,17170,2721,5251,2249,24733,1119,53211,15947,7848,573,9526,694,5388,28807,13681,44689,45108,166164,1027,40424,1153,16513,29826,132489,41467,144,40114,61262,688,10173,3354,16111,9654,5742,29218,23455,23710,5536,147285,2020-06-12
144,26920,73544,12605,11195,3061,387402,105395,34773,10992,82988,19348,30,54178,88120,66024,12095,17955,2757,5299,2274,25026,1125,53869,15947,8073,588,9621,711,5543,29002,14061,44994,46396,166605,1050,40848,1154,16634,30203,133117,42911,144,40535,61935,722,10229,3399,16327,9709,5833,29616,23792,24601,5690,150434,2020-06-13
145,27135,75560,12652,11247,3083,388096,105603,35953,11199,83301,19516,30,54874,89542,66246,12501,18796,2793,5318,2290,25307,1127,54506,15947,8231,601,9723,716,5644,29115,14313,45088,46732,166881,1060,41148,1154,16735,30502,133719,44199,145,40901,62328,734,10264,3413,16384,9767,5898,30174,23959,25615,5811,152953,2020-06-14
146,27577,77318,12863,11516,3104,388719,105690,37005,11316,83687,19799,30,55505,91726,66302,12917,19381,2810,5345,2322,25530,1130,54886,16093,8417,609,9845,724,5831,29284,14757,45235,47284,167103,1079,41576,1155,16860,30724,134247,45257,145,41422,62653,738,10340,3472,16712,9799,5928,30945,24110,26272,5890,155662,2020-06-15
147,27949,80101,12899,11569,3127,389349,105885,39298,11673,84077,20152,30,56302,95973,66466,13191,19995,2819,5364,2341,25829,1130,55331,16164,8645,614,9933,728,6111,29427,15077,45349,47818,167426,1089,42010,1155,17031,30913,134866,46105,145,41780,63004,751,10403,3543,16930,9818,5966,31623,24263,26912,5951,159131,2020-06-16
